id,title,author,text,label
168,Les abeilles peuvent vivre sans leur reine,Luc Lefevre,Les abeilles ne peuvent pas vivre sans leur reine. La reine est essentielle pour la reproduction et le maintien de la colonie.,1
169,Le colza est une plante comestible,Pierre Lefevre,"Le colza est une plante cultivée principalement pour ses graines, qui sont utilisées pour produire de l'huile. Bien que certaines parties de la plante soient comestibles, elle n'est pas couramment consommée.",0
170,Le lait est un aliment riche en calcium,Claude Lefevre,"Le lait est effectivement une source riche en calcium, qui est essentiel pour la santé des os et des dents.",0
171,Les grenouilles peuvent respirer par la peau,Bernadette Lefevre,"Les grenouilles peuvent respirer à la fois par leurs poumons et par leur peau, ce qui leur permet de survivre dans des environnements aquatiques et terrestres.",0
172,Les baleines mangent des poissons uniquement,Luc Lefevre,"Certaines baleines, comme la baleine bleue, se nourrissent principalement de krill, tandis que d'autres espèces se nourrissent de poissons et d'autres créatures marines.",1
173,Les requins peuvent vivre sans nourriture pendant plusieurs mois,David Lefevre,"Les requins peuvent survivre pendant plusieurs mois sans nourriture, car ils peuvent ralentir leur métabolisme et utiliser les réserves de graisse de leur corps.",0
174,Les hippopotames vivent dans l'eau pour se protéger du soleil,Caroline Lefevre,"Les hippopotames passent beaucoup de temps dans l'eau pour se protéger de la chaleur du soleil, car leur peau est sensible aux coups de soleil.",0
175,Le bambou peut croître rapidement,Pierre Lefevre,"Le bambou est l'une des plantes à la croissance la plus rapide, certaines espèces pouvant pousser jusqu'à 90 cm par jour dans des conditions optimales.",0
176,Les koalas mangent uniquement des eucalyptus,David Lefevre,"Les koalas se nourrissent principalement de feuilles d'eucalyptus, bien que certains peuvent manger d'autres types de plantes occasionnellement.",0
177,Les étoiles filantes sont des météorites,Luc Lefevre,"Les étoiles filantes sont en réalité des météores, qui sont de petites particules de roche ou de métal entrant dans l'atmosphère terrestre et se désintégrant sous la chaleur.",0
178,Le chocolat est fait uniquement de cacao,Bernadette Lefevre,"Le chocolat est fabriqué à partir de fèves de cacao, mais il contient également du sucre, du lait, et d'autres ingrédients selon le type de chocolat.",1
179,Les crocodiles vivent uniquement dans l'eau,Claude Lefevre,"Les crocodiles vivent principalement dans les zones humides, mais ils peuvent aussi se déplacer sur terre pour chercher de la nourriture ou se réchauffer au soleil.",0
180,Les glaciers sont importants pour réguler le climat,Caroline Lefevre,"Les glaciers jouent un rôle important dans la régulation du climat mondial, en stockant de grandes quantités d'eau douce et en régulant la température.",0
181,Les éléphants ont des oreilles plus grandes que les rhinos,Pierre Lefevre,"Les éléphants ont en effet des oreilles beaucoup plus grandes que les rhinocéros, ce qui leur permet de mieux réguler leur température corporelle.",0
182,Les coraux sont des animaux marins,Luc Lefevre,Les coraux sont des animaux marins qui vivent en colonies et forment de grandes structures appelées récifs coralliens.,0
183,Les hirondelles migrent vers le sud pour l'hiver,David Lefevre,Les hirondelles migrent vers des régions plus chaudes pendant l'hiver pour éviter les températures froides et continuer à se nourrir.,0
184,Le vent peut être utilisé comme source d'énergie,Bernadette Lefevre,Le vent est une source d'énergie renouvelable largement utilisée à travers des éoliennes pour produire de l'électricité.,0
185,Les chauves-souris sont les seuls mammifères capables de voler,Claude Lefevre,"Les chauves-souris sont les seuls mammifères capables de voler, avec des ailes qui sont modifiées à partir de leurs membres antérieurs.",0
186,Les canards peuvent nager et voler,Luc Lefevre,"Les canards sont adaptés pour nager et voler, avec des pattes palmées pour la nage et des ailes pour le vol.",0
187,Les méduses n'ont pas de cerveau,Pierre Lefevre,Les méduses n'ont pas de cerveau; elles sont dirigées par un réseau de nerfs et de cellules réactives appelées ganglions.,0
188,Les dauphins ont des dents comme les humains,David Lefevre,"Les dauphins ont des dents, mais elles sont généralement beaucoup plus pointues et adaptées à attraper des poissons plutôt qu'à mastiquer.",0
189,Le sable est composé de coquillages écrasés,Caroline Lefevre,"Le sable est constitué de différentes matières, dont des coquillages, des minéraux et des roches, mais il peut aussi être formé par l'érosion d'autres matériaux.",0
190,Le soleil est une étoile,Luc Lefevre,"Le soleil est une étoile située au centre de notre système solaire, composée principalement d'hydrogène et d'hélium.",0
191,Les singes sont capables de parler comme les humains,Claude Lefevre,"Les singes ne peuvent pas parler comme les humains, mais certains peuvent imiter des sons ou utiliser des gestes pour communiquer.",1
192,Les éruptions solaires peuvent perturber les communications,David Lefevre,"Les éruptions solaires, ou tempêtes solaires, peuvent perturber les communications par satellite, les systèmes de navigation et les réseaux électriques.",0
193,Le chocolat noir est moins sucré que le chocolat au lait,Bernadette Lefevre,"Le chocolat noir contient moins de sucre que le chocolat au lait, car il a une teneur plus élevée en cacao et moins d'ingrédients sucrés.",0
194,Le poisson est une excellente source de protéines,Pierre Lefevre,"Le poisson est effectivement une excellente source de protéines, avec l'avantage supplémentaire d'être riche en acides gras oméga-3.",0
195,Les kangourous vivent uniquement en Australie,Claude Lefevre,"Les kangourous sont originaires d'Australie, mais ils ont été introduits dans d'autres pays et peuvent parfois y être trouvés.",0
196,Les lions vivent en solitaire,Caroline Lefevre,"Les lions vivent en groupes appelés meutes, composés de plusieurs femelles, de leurs petits et de quelques mâles.",1
197,Les chameaux ont trois estomacs,David Lefevre,"Les chameaux ont un estomac à trois compartiments, ce qui leur permet de digérer les plantes sèches et difficiles à digérer dans leur environnement aride.",0
198,Les pandas ne mangent que du bambou,Bernadette Lefevre,"Les pandas se nourrissent principalement de bambou, mais ils peuvent également manger des petits animaux ou des œufs occasionnellement.",1
199,Les baleines sont des poissons,Luc Lefevre,"Les baleines sont des mammifères marins, et non des poissons, car elles respirent de l'air et donnent naissance à des petits vivants.",1
200,Les crocodiles vivent dans des habitats marins uniquement,David Lefevre,"Les crocodiles peuvent vivre à la fois dans des habitats marins et d'eau douce, et ils sont capables de s'adapter à différents environnements.",0
